brand,condition,door_count,first_owner,fiscal_power,fuel_type,mileage,model,origin,price,sector,seller_city,transmission,year,publication_Year,publication_Month,publication_Day,publication_Weekday,Is_Weekend,Days_since_posted,Alloy_wheels,Airbags,Air_conditioning,Navigation_system,Sunroof,Leather_seats,Parking_sensors,Rear_camera,Electric_windows,ABS,ESP,Cruise_control,Speed_limiter,CD/MP3/Bluetooth,On_board_computer,Central_locking
mitsubishi,Très bon,3,Non,11,diesel,274999,Pajero,WW au Maroc,85000,Agadir,Autre secteur,Manuelle,2007,2025,2,11,3,0,78,True,True,True,False,False,False,True,False,False,False,True,False,False,False,True,False
land rover,Excellent,5,Oui,8,diesel,22499,Discovery,WW au Maroc,190000,Agadir,Haut Anza,Automatique,2017,2024,9,14,7,1,228,True,True,True,False,True,False,True,False,False,True,True,False,True,True,True,False
dacia,Excellent,5,Oui,6,diesel,72499,Duster,WW au Maroc,167000,Casablanca,Sidi Bernoussi,Manuelle,2019,2025,2,11,3,0,78,True,True,True,False,False,False,True,False,False,True,True,False,True,True,True,False
audi,Excellent,5,Non,11,diesel,184999,Q5,WW au Maroc,120000,Casablanca,Ain Sebaa,Automatique,2010,2024,10,14,2,0,198,True,True,True,False,True,False,True,False,False,True,True,False,True,True,True,False
volkswagen,Excellent,5,Non,12,diesel,274999,Touareg,Dédouanée,70000,Oujda,Boustane,Automatique,2006,2025,2,11,3,0,78,True,False,True,False,False,False,True,False,False,True,True,False,True,True,True,False
peugeot,Excellent,5,Non,6,diesel,62499,208,WW au Maroc,162000,Rabat,Médina de Rabat,Manuelle,2022,2025,3,13,5,0,48,True,True,True,False,False,False,True,False,False,True,True,False,True,True,True,False
volkswagen,Très bon,5,Non,8,diesel,274999,Passat,Dédouanée,105000,Marrakech,Allal El Fassi,Automatique,2010,2025,4,7,2,0,23,True,True,True,False,True,False,True,False,False,True,True,False,True,True,True,False
renault,Très bon,5,Non,6,diesel,104999,Kadjar,WW au Maroc,200000,Mohammedia,Hay saada,Automatique,2019,2025,4,12,7,1,18,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False
fiat,Excellent,5,Oui,8,essence,224999,Bravo,WW au Maroc,60000,Tiflet,Toute la ville,Manuelle,2010,2025,4,3,5,0,27,False,False,True,False,False,False,False,False,False,True,True,False,False,True,False,False
tata,Excellent,5,Oui,9,diesel,17499,Xenon,WW au Maroc,190000,Marrakech,Azzouzia,Manuelle,2024,2025,3,13,5,0,48,True,True,True,False,False,False,False,False,False,True,True,False,False,True,False,False
kia,Très bon,5,Oui,5,essence,2499,Picanto,WW au Maroc,150000,Agadir,Abattoirs,Automatique,2024,2025,2,11,3,0,78,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
volvo,Très bon,5,Oui,8,diesel,134999,S60,WW au Maroc,148000,Casablanca,Maarif,Automatique,2016,2025,3,31,2,0,30,True,True,True,False,False,False,True,False,False,True,False,False,True,True,True,False
citroen,Excellent,5,Non,6,diesel,82499,Berlingo,WW au Maroc,149000,Temara,Centre Ville,Manuelle,2019,2025,2,11,3,0,78,False,True,True,False,False,False,False,False,False,True,False,False,False,True,True,False
