door_count,fiscal_power,mileage,price,year,publication_Year,publication_Month,publication_Day,publication_Weekday,Is_Weekend,Days_since_posted,Alloy_wheels,Airbags,Air_conditioning,Navigation_system,Sunroof,Leather_seats,Parking_sensors,Rear_camera,Electric_windows,ABS,ESP,Cruise_control,Speed_limiter,CD/MP3/Bluetooth,On_board_computer,Central_locking,brand,condition,fuel_type,model,origin,first_owner,sector,seller_city,transmission
3.0,11.0,274999.0,85000.0,2007.0,2025.0,2.0,11.0,3,0,78.0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,27.0,1.0,0.0,221.0,0.0,0.0,4.0,1.0,0.0
5.0,8.0,22499.0,190000.0,2017.0,2024.0,9.0,14.0,7,1,228.0,1,1,1,0,1,0,1,0,0,1,1,0,1,1,1,0,14.0,0.0,0.0,201.0,0.0,1.0,4.0,559.0,1.0
5.0,6.0,72499.0,167000.0,2019.0,2025.0,2.0,11.0,3,0,78.0,1,1,1,0,0,0,1,0,0,1,1,0,1,1,1,0,2.0,0.0,0.0,3.0,0.0,1.0,0.0,10.0,0.0
5.0,11.0,184999.0,120000.0,2010.0,2024.0,10.0,14.0,2,0,198.0,1,1,1,0,1,0,1,0,0,1,1,0,1,1,1,0,8.0,0.0,0.0,38.0,0.0,0.0,0.0,2.0,1.0
5.0,12.0,274999.0,70000.0,2006.0,2025.0,2.0,11.0,3,0,78.0,1,0,1,0,0,0,1,0,0,1,1,0,1,1,1,0,0.0,0.0,0.0,12.0,1.0,0.0,12.0,334.0,1.0
5.0,6.0,62499.0,162000.0,2022.0,2025.0,3.0,13.0,5,0,48.0,1,1,1,0,0,0,1,0,0,1,1,0,1,1,1,0,3.0,0.0,0.0,6.0,0.0,0.0,3.0,142.0,0.0
5.0,8.0,274999.0,105000.0,2010.0,2025.0,4.0,7.0,2,0,23.0,1,1,1,0,1,0,1,0,0,1,1,0,1,1,1,0,0.0,1.0,0.0,24.0,1.0,0.0,2.0,36.0,1.0
5.0,6.0,104999.0,200000.0,2019.0,2025.0,4.0,12.0,7,1,18.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1.0,1.0,0.0,68.0,0.0,0.0,13.0,466.0,1.0
5.0,8.0,224999.0,60000.0,2010.0,2025.0,4.0,3.0,5,0,27.0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,7.0,0.0,1.0,224.0,0.0,1.0,35.0,0.0,0.0
5.0,9.0,17499.0,190000.0,2024.0,2025.0,3.0,13.0,5,0,48.0,1,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,50.0,0.0,0.0,342.0,0.0,1.0,2.0,115.0,0.0
5.0,5.0,2499.0,150000.0,2024.0,2025.0,2.0,11.0,3,0,78.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11.0,1.0,1.0,25.0,0.0,1.0,4.0,61.0,1.0
5.0,8.0,134999.0,148000.0,2016.0,2025.0,3.0,31.0,2,0,30.0,1,1,1,0,0,0,1,0,0,1,0,0,1,1,1,0,19.0,1.0,0.0,179.0,0.0,1.0,0.0,14.0,1.0
5.0,6.0,82499.0,149000.0,2019.0,2025.0,2.0,11.0,3,0,78.0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,10.0,0.0,0.0,31.0,0.0,0.0,11.0,3.0,0.0
5.0,8.0,164999.0,135000.0,2013.0,2025.0,4.0,2.0,4,0,28.0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,5.0,2.0,0.0,86.0,0.0,0.0,0.0,136.0,1.0
5.0,6.0,154999.0,240000.0,2018.0,2025.0,3.0,13.0,5,0,48.0,1,1,1,0,0,0,1,0,0,1,1,0,1,1,1,0,0.0,1.0,0.0,12.0,0.0,1.0,0.0,24.0,1.0
5.0,6.0,17499.0,67000.0,2004.0,2025.0,3.0,13.0,5,0,48.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,2.0,0.0,9.0,0.0,0.0,41.0,0.0,0.0
5.0,8.0,224999.0,125000.0,2013.0,2025.0,2.0,11.0,3,0,78.0,1,1,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0.0,1.0,0.0,24.0,0.0,1.0,4.0,68.0,1.0
5.0,6.0,97499.0,153000.0,2021.0,2025.0,4.0,4.0,6,1,26.0,1,1,1,0,1,0,1,0,0,1,1,0,1,1,1,0,4.0,0.0,0.0,43.0,1.0,1.0,1.0,71.0,0.0
5.0,8.0,184999.0,185000.0,2018.0,2025.0,1.0,12.0,1,0,108.0,1,1,1,0,0,0,1,0,0,1,0,0,1,1,1,0,1.0,1.0,0.0,68.0,0.0,1.0,21.0,0.0,1.0
5.0,7.0,2499.0,62000.0,2014.0,2025.0,3.0,13.0,5,0,48.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2.0,2.0,1.0,4.0,0.0,0.0,128.0,0.0,0.0
5.0,8.0,72499.0,485000.0,2020.0,2025.0,4.0,12.0,7,1,18.0,1,1,1,0,1,0,1,0,0,1,1,0,1,1,1,0,0.0,1.0,0.0,2.0,1.0,0.0,1.0,65.0,1.0
5.0,9.0,274999.0,99000.0,2005.0,2025.0,4.0,12.0,7,1,18.0,1,1,1,0,0,0,1,0,0,1,1,0,1,1,1,0,4.0,0.0,0.0,17.0,1.0,0.0,0.0,6.0,1.0
5.0,8.0,82499.0,380000.0,2021.0,2025.0,4.0,4.0,6,1,26.0,1,1,1,0,0,0,1,0,0,1,1,0,1,1,1,0,4.0,0.0,0.0,34.0,0.0,0.0,6.0,195.0,1.0
5.0,8.0,87499.0,233000.0,2020.0,2025.0,4.0,12.0,7,1,18.0,1,1,1,0,1,0,1,0,0,1,1,0,1,1,1,0,18.0,0.0,0.0,30.0,0.0,1.0,9.0,8.0,1.0
5.0,9.0,114999.0,270000.0,2020.0,2025.0,3.0,13.0,5,0,48.0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,12.0,0.0,2.0,58.0,0.0,0.0,0.0,43.0,1.0
